id;designation;application_identity;organization_id;department_id;security_clearance_id;dealer_identity_id
1;2edb65a7-486a-40b4-b340-e96382f8f906;over now how;1;1;1;1
2;13d77ae8-2fb1-42b1-89c4-846a615360ba;faint oof;2;2;2;2
3;ea28f64b-01db-4034-a7c5-a5084beaa3c9;primary;3;3;3;3
4;316fce26-7ea1-46c3-b44b-7c13902d6669;wordy;4;4;4;4
5;5a368b57-7fa9-4596-8d59-18f3a8a86a09;loftily although steeple;5;5;5;5
6;56ffe53f-e378-4331-aada-1841d91059db;dependent fence beyond;6;6;6;6
7;d20fe3b9-5474-4dfc-a02b-d1def3837834;elegantly formal eek;7;7;7;7
8;25f40b29-5cbb-4d5c-b773-77f91f057a3e;plastic although;8;8;8;8
9;dc68635b-5d41-44e4-b166-591296b2010d;lively;9;9;9;9
10;c874d4c8-b4b6-469b-8da5-4ee339fb81df;lovely fit phooey;10;10;10;10
