id;month_number;start_date;end_date;fiscal_month_code;fiscal_year_id
1;27266;2023-08-16;2023-08-15;sew ha first;1
2;18388;2023-08-15;2023-08-15;nor sniveling;2
3;2324;2023-08-15;2023-08-15;safely;3
4;4726;2023-08-16;2023-08-15;mockingly qua;4
5;16061;2023-08-16;2023-08-15;astride worth;5
6;215;2023-08-16;2023-08-16;however geez;6
7;21190;2023-08-16;2023-08-15;best-seller;7
8;7931;2023-08-15;2023-08-15;chime;8
9;6706;2023-08-15;2023-08-16;cinema sleepily perky;9
10;13017;2023-08-16;2023-08-16;epic;10
