id;report_date;ledger;number_of_deals;total_principal;interest_accrued;total_pv_full
1;2025-06-03;amid;25898;10174.22;26689.33;21964.72
2;2025-06-04;meh citizen oof;23564;31997.35;1431.3;16944.1
3;2025-06-03;awesome before;28568;1438.17;16930.61;26749.44
4;2025-06-04;urgently of;30335;28071.84;8198.16;17978.72
5;2025-06-04;rawhide definite marvelous;15531;15185.59;7484.89;6669.93
6;2025-06-03;dislocate excitedly;12342;5994.02;12731.93;22009.64
7;2025-06-03;furthermore;9082;21902.15;20026.58;2547.84
8;2025-06-04;furthermore inasmuch altruistic;11709;27927.06;7113.4;3335.41
9;2025-06-03;present adolescent;1720;25931.57;15893.93;24138.02
10;2025-06-03;sugary save around;19633;12970.86;26264.89;17565.75
