id;report_date;upload_time_stamp;status;description;active
1;2025-05-19;2025-05-19T10:23:53;CANCELLED;questionably blaring;true
2;2025-05-18;2025-05-18T23:33:39;ACTIVE;except louse;false
3;2025-05-18;2025-05-19T05:08:02;REPLACED;gosh descendant settler;true
4;2025-05-18;2025-05-19T09:50:28;CANCELLED;calmly which forenenst;false
5;2025-05-18;2025-05-18T19:52:59;CANCELLED;how rawhide duh;false
6;2025-05-19;2025-05-18T23:17:47;ACTIVE;hm monocle;true
7;2025-05-19;2025-05-18T18:48:25;CANCELLED;repossess;true
8;2025-05-18;2025-05-18T11:48:38;REPLACED;provision;true
9;2025-05-19;2025-05-18T20:07:16;CANCELLED;granny pish obtrude;true
10;2025-05-19;2025-05-19T06:46:28;CANCELLED;gum instead;false
