id;error_message;row_number;reference_number
1;../fake-data/blob/hipster.txt;27529;6c16c137-fa80-4a35-9fcb-93b738c46db7
2;../fake-data/blob/hipster.txt;18996;fe03baaf-555a-46bc-b7a6-ade5d92299d9
3;../fake-data/blob/hipster.txt;28391;a9970699-8c82-4327-864c-0d4fa31a6329
4;../fake-data/blob/hipster.txt;18762;439862d8-0986-4a4f-905c-36379a6824a6
5;../fake-data/blob/hipster.txt;16065;92b44bde-e30e-4d3e-a695-f5457d6536d5
6;../fake-data/blob/hipster.txt;16756;1761379d-fa33-4544-8e37-a7a4c055f347
7;../fake-data/blob/hipster.txt;15945;2fab16e9-4a5b-4622-8c34-f6605e1ae3a0
8;../fake-data/blob/hipster.txt;6501;164be9fa-44c5-4e50-b54f-5bd4a49f38b6
9;../fake-data/blob/hipster.txt;2402;a43eea6d-9bac-4707-afc5-cded06f99fd9
10;../fake-data/blob/hipster.txt;30738;1c8ccbee-321e-42b4-856d-2517385474c8
