id;report_date;upload_time_stamp;status;active;description;file_identifier;process_flag;csv_file_attachment;csv_file_attachment_content_type;uploaded_by_id
1;2025-05-18;2025-05-18T23:59:14;ACTIVE;false;since jubilantly;1c507cb8-4d2b-4ab2-98f2-22fd14276d20;IN_PROGRESS;../fake-data/blob/hipster.png;image/png;1
2;2025-05-18;2025-05-19T05:07:03;ACTIVE;true;spiteful duh um;480ebe78-6a9b-46ce-a0dd-51ca439d90a8;PROCESSED;../fake-data/blob/hipster.png;image/png;2
3;2025-05-19;2025-05-18T16:13:57;CANCELLED;false;fax deeply absent;3372839f-9e6e-4c55-8177-37d9fa445de1;PENDING;../fake-data/blob/hipster.png;image/png;3
4;2025-05-19;2025-05-19T08:06:43;ACTIVE;true;productive fun affect;914c3655-5de0-4117-b503-cb7a0aa9097b;FAILED;../fake-data/blob/hipster.png;image/png;4
5;2025-05-19;2025-05-19T02:32:05;ACTIVE;true;uselessly ha amid;b9c126c2-68ee-42d2-8ac9-a370a90adcd6;FAILED;../fake-data/blob/hipster.png;image/png;5
6;2025-05-19;2025-05-18T17:59:43;CANCELLED;false;meal unless tuba;7ca353f8-22c3-40d3-9151-5f3fedf0ee37;PENDING;../fake-data/blob/hipster.png;image/png;6
7;2025-05-19;2025-05-18T21:50:45;REPLACED;true;ski;e0617632-622c-4cbf-87cd-bf4bd8732184;PROCESSED;../fake-data/blob/hipster.png;image/png;7
8;2025-05-18;2025-05-18T13:05:48;REPLACED;false;gentle obediently whether;8163163e-8543-4d08-ad3e-923f2cbd473d;PENDING;../fake-data/blob/hipster.png;image/png;8
9;2025-05-18;2025-05-18T11:37:43;ACTIVE;true;kindly;9b9de68b-6a6f-480e-a349-28f28db4edfd;PENDING;../fake-data/blob/hipster.png;image/png;9
10;2025-05-18;2025-05-18T13:02:30;REPLACED;false;wherever anxiously optimistically;7f5d8527-44ab-490e-a130-07426948e8f9;FAILED;../fake-data/blob/hipster.png;image/png;10
